,,Gross Income Based,Net Income Based,Operating Income Based,,,,,,,EBITDA Based,Expense Ratios,,,,,,
Industry Name,Number of firms,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales
Environmental & Waste Services,91,0.3258,0.0919,0.1246,0.1182,0.1144,0.1235,0.1195,0.1235,0.1195,0.2003,0.3299,0.2006,0.6742,0.0003,0.1296,0.0064,0.0252
Farming/Agriculture,33,0.1206,0.0344,0.0537,0.0519,0.0469,0.0534,0.0482,0.0548,0.0497,0.0708,0.1241,0.0841,0.8794,0.0133,0.0533,0.0018,0.006
Financial Svcs. (Non-bank & Insurance),259,0.7984,0.2006,0.0986,0.087,0.0693,0.0856,0.0681,0.0859,0.0685,0.0935,0.3767,0.0965,0.2016,0.003,0.2832,0.0116,0.0112
Food Processing,83,0.2786,0.1198,0.1356,0.1322,0.1254,0.1336,0.1267,0.1336,0.1267,0.1683,0.309,0.1743,0.7214,0.006,0.1408,0.0034,0.0088
Food Wholesalers,18,0.1697,0.0205,0.0327,0.0312,0.0297,0.0319,0.0304,0.0319,0.0304,0.0428,0.1802,0.0428,0.8303,0,0.1374,0.0015,0.0042
Furn/Home Furnishings,30,0.2574,0.022,0.0868,0.0831,0.069,0.0865,0.0718,0.0869,0.0722,0.1197,0.2878,0.1366,0.7426,0.0169,0.1681,0.0037,0.015
Green & Renewable Energy,21,0.5579,0.1002,0.1762,0.1615,0.1615,0.1296,0.1296,0.1298,0.1298,0.475,0.5934,0.4774,0.4421,0.0024,0.1183,0.0147,0.02
Healthcare Products,248,0.5774,0.058,0.1714,0.153,0.1446,0.1547,0.1463,0.162,0.1535,0.2171,0.5418,0.2938,0.4226,0.0767,0.3247,0.0184,0.0086
Healthcare Support Services,111,0.1462,0.0246,0.0472,0.0453,0.0415,0.0445,0.0408,0.0444,0.0407,0.0504,0.1358,0.0506,0.8538,0.0002,0.0854,0.0019,0.0051
Heathcare Information and Technology,119,0.5121,0.0955,0.1504,0.1311,0.1237,0.1328,0.1253,0.1384,0.1309,0.1837,0.4598,0.2514,0.4879,0.0677,0.2761,0.0193,0.0131
Homebuilding,31,0.204,0.0719,0.1101,0.1051,0.0795,0.1061,0.0803,0.1061,0.0803,0.0974,0.1965,0.0974,0.796,0,0.099,0.0051,0.0036
Hospitals/Healthcare Facilities,34,0.3626,0.0078,0.1065,0.1013,0.0943,0.0991,0.0923,0.0991,0.0923,0.1402,0.1704,0.1402,0.6374,0,0.0302,0.0052,0.0205
Hotel/Gaming,70,0.5432,0.1762,0.2145,0.2042,0.1847,0.1981,0.1792,0.1985,0.1795,0.2818,0.4641,0.2845,0.4568,0.0027,0.1823,0.0104,0.0129
Household Products,141,0.5078,0.0679,0.1828,0.1756,0.1631,0.1765,0.1639,0.1768,0.1642,0.2155,0.5422,0.2355,0.4922,0.0201,0.3267,0.0072,0.0107
Information Services,71,0.5528,0.1841,0.2887,0.2686,0.2408,0.2715,0.2433,0.2752,0.247,0.3045,0.5286,0.3226,0.4472,0.0181,0.2241,0.0201,0.0156
Insurance (General),20,0.3115,-0.0161,0.1173,0.11,0.0946,0.1109,0.0954,0.1109,0.0954,0.1452,0.2713,0.1453,0.6885,0.0001,0.1261,0.0073,0.009
